Tipo,Endereço,Área,Preço,Etiqueta,Código Viva Real
Compra,"Avenida Noé Vincie, 96-214 - Loteamento Arboreto dos Jequitibás, Campinas - SP",765,R$ 1.200.000,-,2571383833
Compra,"Avenida Doutor Nelson Noronha Gustavo Filho, 175 - Vila Brandina, Campinas - SP",132,R$ 1.000.000,-,2573221595
Compra,"Rua Professor Antônio Nogueira Braga, 107 - Fazenda Santa Cândida, Campinas - SP",84,R$ 524.900,-,2528118397
Compra,"Avenida Campos Salles, 864 - Centro, Campinas - SP",168,R$ 400.000,-,2566261729
Compra,"Rua Pedro Braga, 151 - Parque Itália, Campinas - SP",60,R$ 385.000,-,2558921253
Compra,"Rua dos Guaicurus, 69 - Vila Costa e Silva, Campinas - SP",123,R$ 335.000 Preço abaixo do mercado,-,2560461412
Compra,"Rua João Teodoro, 455 - Vila Industrial, Campinas - SP",47,R$ 270.000,-,2490848983
Compra,"Rua Nuporanga, 331 - Chácara da Barra, Campinas - SP",190,R$ 1.500.000,-,2570205011
Compra,"Rua Willian Booth, 213 - Jardim Paulicéia, Campinas - SP",56,R$ 360.000,-,2559980994
Compra,"Rua Professor Myra Y Lopes, 552 - Parque da Figueira, Campinas - SP",207,R$ 540.000,-,2572297479
Compra,"Rua Doutor Oswaldo Cruz - Jardim Nossa Senhora Auxiliadora, Campinas - SP",125,R$ 880.000,-,2549383577
Compra,"Rua Antônio Rodrigues de Carvalho, 1577 - Vila Proost de Souza, Campinas - SP",67,R$ 210.000,-,2501141698
Compra,"Rua Visconde de Congonhas do Campo - Loteamento Parque São Martinho, Campinas - SP",47,R$ 200.000,-,2498996276
Compra,"Rua Paulo de Faria, 46 - Jardim Flamboyant, Campinas - SP",297,R$ 470.000 Preço abaixo do mercado,-,2572279415
Compra,"Rua Manoel Sylvestre de Freitas Filho, 75 - Jardim Nova Europa, Campinas - SP",50,R$ 270.000,-,2569653102
Compra,"Rua José Paulino, 159 - Vila Lídia, Campinas - SP",4050,R$ 420.000,-,2562249116
Compra,"Rua Proença, 301 - Bosque, Campinas - SP",47-49,R$ 297.000,Na planta,2565410894
Compra,"Rua Nuporanga, 365 - Chácara da Barra, Campinas - SP",180,R$ 850.000,-,2566704698
Compra,"Rua Israel, 60 - Jardim Bandeirantes, Campinas - SP",242,R$ 700.000,-,2567578650
Compra,"Rua Antônio Francisco A. Cavalcanti, 357 - Parque Jambeiro, Campinas - SP",140,R$ 660.000,-,2570780056
Compra,"Rua Caçapava, 242 - Vila Industrial, Campinas - SP",83,R$ 400.000,-,2550025268
Compra,"Rua Lourenço Dal Porto, 223 - Jardim Atibaia, Campinas - SP",298,R$ 2.150.000,-,2570019812
Compra,"Rua Paula Bueno, 190 - Taquaral, Campinas - SP",30,R$ 150.000,-,2566697253
Compra,"Rua Proença, 73 - Jardim Proença, Campinas - SP",47-49,De R$ 297.000 até R$ 375.000 R$ 297.000,Na planta,2573684638
Compra,"Avenida Império do Sol Nascente, 581 - Jardim Aurélia, Campinas - SP",69,R$ 450.000,-,2549089941
Compra,"Rua Coronel Quirino, 150 - Cambuí, Campinas - SP",75,R$ 385.000,-,2559105371
Compra,"Rua Santo Antônio, 431 - Cambuí, Campinas - SP",91,R$ 1.650.000,-,2544152896
Compra,"Estrada Municipal Adelina Segantini Cerqueira Leite, 200 - Chácara São Rafael, Campinas - SP",433,R$ 620.000,-,2567052566
Compra,"Avenida Ministro Costa Manso, 43 - Jardim Santa Eudóxia, Campinas - SP",82,R$ 260.000 Preço abaixo do mercado,-,2567577175
Compra,"Rua Edson Arantes do Nascimento, 1176 - Dic VI Conjunto Hab. Santo Dias Silva, Campinas - SP",200,R$ 330.000,-,2557365185
Compra,"Rua Joaquim Novaes, 128 - Centro, Campinas - SP",111,R$ 1.285.000,Na planta,2560342818
Compra,"Rua Alice Lourdes Lançoni, 71 - Swiss Park, Campinas - SP",223,R$ 1.400.000,-,2568873168
Compra,"Avenida São José dos Campos, 150 - Jardim Nova Europa, Campinas - SP",51,R$ 228.000 Preço abaixo do mercado,-,2564485057
Compra,"Alameda dos Ingazeiros, 1055 - Sítios de Recreio Gramado, Campinas - SP",800,R$ 6.800.000,-,2516676016
Compra,"Rua Gilberto Blattner, 168 - Loteamento Mont Blanc Residence, Campinas - SP",503,R$ 5.100.000,-,2568080906
Compra,"Vila Industrial, Campinas - SP",130,R$ 560.000,-,2565968005
Compra,"Rua Padre Melico Cândido Barbosa, 784 - Parque Xangrilá, Campinas - SP",220,R$ 1.295.000,-,2569212867
Compra,"Rua Joaquim Novaes, 128 - Cambuí, Campinas - SP",111,R$ 1.377.800,Na planta,2552508159
Compra,"Rua Doutor Roque Marco Gatti, 268 - Parque Alto Taquaral, Campinas - SP",300,R$ 2.980.000,-,2570360478
Compra,"Rua Barão de Atibaia, 364 - Vila Itapura, Campinas - SP",100,R$ 919.000,-,2554515764
Compra,"Avenida São José dos Campos, 3385 - Loteamento Parque São Martinho, Campinas - SP",46,R$ 200.000,-,2548791992
Compra,"Rua João Stanis, 5 - Taquaral, Campinas - SP",180,R$ 850.000 Preço abaixo do mercado,-,2497670774
Compra,"Rua Santa Rita do Passa Quatro, 85 - Jardim Nova Europa, Campinas - SP",53,R$ 285.000,-,2519607624
Compra,"Rua Vicente Ghilardi, 102 - Jardim Chapadão, Campinas - SP",240,R$ 990.000,-,2527440080
Compra,"Rua Joaquim Novaes, 128 - Centro, Campinas - SP",111,R$ 1.309.000,Em construção,2557352719
Compra,"Rua Mogi Guaçu, 1699 - Jardim Flamboyant, Campinas - SP",90,R$ 470.000,-,2547607135
Compra,"Rua Luiz Safra, 22 - Loteamento Parque dos Alecrins , Campinas - SP",300,R$ 2.600.000,-,2573045716
Compra,"Avenida Washington Luís - Parque Prado, Campinas - SP",77,R$ 530.000,-,2572262189
Compra,"Avenida João Scarparo Netto, 240 - Loteamento Center Santa Genebra, Campinas - SP",75,R$ 490.000,-,2559210785
Compra,"Avenida Doutor Bernardo Kaplan, 123 - Parque Brasília, Campinas - SP",74,R$ 450.000,-,2464272776
Compra,"Rua Joaquim Pinto de Moraes, 29 - Jardim das Paineiras, Campinas - SP",162,R$ 780.000,-,2533077515
Compra,"Rua Francisco de Assis Pupo, 245 - Vila Industrial, Campinas - SP",65,R$ 330.000,-,2533887350
Compra,"Rua Joaquim Novaes, 128 - Centro, Campinas - SP",111,Sob Consulta,Na planta,2542364337
Compra,"Rua Monsenhor Agnaldo José Gonçalves, 287 - Vila Proost de Souza, Campinas - SP",180,R$ 780.000,-,2525658779
Compra,"Rua da Abolição, 949 - Ponte Preta, Campinas - SP",74,R$ 300.000 Preço abaixo do mercado,-,2551535921
Compra,"Avenida Alaôr Faria de Barros, 1371 - Loteamento Alphaville Campinas, Campinas - SP",200,R$ 930.000 Preço abaixo do mercado,-,2519823534
Compra,"Rua Barão de Jaguara, 460 - Centro, Campinas - SP",98,R$ 360.000,-,2549572078
Compra,"Rua Riachuelo, 303 - Bosque, Campinas - SP",55,R$ 350.000,-,2557389902
Compra,"Rua Anani, 72 - Loteamento Alphaville Campinas, Campinas - SP",790,R$ 4.500.000 Preço abaixo do mercado,-,2563214131
Compra,"Rua Joaquim Novaes, 128 - Cambuí, Campinas - SP",111,De R$ 1.330.200 até R$ 1.633.700 R$ 1.330.200,Na planta,2529425531
Compra,"Rua Bortolo Martins, 1336 - Chácara Santa Margarida, Campinas - SP",360,R$ 180.000,-,2511842263
Compra,"Rua Francisco Teodoro, 480 - Vila Industrial, Campinas - SP",50,R$ 299.000,-,2553435868
Compra,"Avenida Washington Luís, 4000 - Parque Prado, Campinas - SP",52,R$ 254.800 Preço abaixo do mercado,-,2492408180
Compra,"Rua Professor Crodowaldo Pavan, 78 - Vila dos Plátanos, Campinas - SP",300,R$ 2.599.000,-,2563400881
Compra,"Rua Doutor Jeber Juabre, 146 - Jardim Márcia, Campinas - SP",45,R$ 180.000,-,2508990490
Compra,"Avenida Benjamin Constant - Cambuí, Campinas - SP",48,R$ 650.000,-,2483909410
Compra,"Rua Joaquim Novaes, 128 - Centro, Campinas - SP",111,De R$ 1.377.800 até R$ 1.732.000 R$ 1.377.800,Em construção,2528355108
Compra,"Avenida Francisco Glicério, 297 - Vila Lídia, Campinas - SP",40,R$ 99.000,-,2561906807
Compra,"Rua Mato Grosso - Vila Santana, Campinas - SP",202,R$ 850.000,-,2554524246
Compra,"Rua Costa Aguiar, 698 - Centro, Campinas - SP",40,R$ 90.000,-,2554371825
Compra,"Rua dos Araés, 295 - Vila Costa e Silva, Campinas - SP",200,R$ 390.000,-,2555524330
Compra,"Rua Benedicto Antonio Filho, 34 - Conjunto Habitacional Campinas H, Campinas - SP",55,R$ 34.000,-,2568065268
Compra,"Avenida Princesa D'Oeste, 912 - Jardim Paraíso, Campinas - SP",728,R$ 7.000.000,-,2523758734
Compra,"Rua Bernardo José Sampaio, 119 - Botafogo, Campinas - SP",64-75,R$ 509.000,Pronto para morar,2552507952
Compra,"Avenida Princesa D'Oeste, 1155 - Jardim Proença, Campinas - SP",111,R$ 384.990,-,2557154515
Compra,"Rua Antônio Volpe, 755 - Jardim Novo Maracanã, Campinas - SP",48,R$ 220.000,-,2560811258
Compra,"Rua Antônio Cesarino, 555 - Centro, Campinas - SP",36,R$ 130.000,-,2562731255
Compra,"Avenida Amador Bicudo Teixeira, 141 - Jardim Planalto de Viracopos, Campinas - SP",450,R$ 650.000,-,2554928762
Compra,"Rua da Asa-Branca - Residencial Parque das Araucárias, Campinas - SP",435,R$ 3.990.000,-,2562746072
Compra,"Rua Doutor Joaquim de Castro Tibiriçá - Parque São Quirino, Campinas - SP",221,R$ 890.000,-,2494511294
Compra,"Rua Bernardo José Sampaio, 119 - Botafogo, Campinas - SP",64-75,De R$ 607.574 até R$ 742.220 R$ 607.574,Em construção,2565053635
Compra,"Rua Doutor Rafael Sales, 145 - Bonfim, Campinas - SP",74,R$ 460.000,-,2524276943
Compra,"Avenida Campos Salles, 715 - Centro, Campinas - SP",50,R$ 80.000,-,2549327774
Compra,"Rua Américo Ferreira de Camargo Filho, 68 - Colinas do Ermitage, Campinas - SP",270,R$ 900.000 Preço abaixo do mercado,-,2565789225
Compra,"Avenida Padre Manoel da Nóbrega, 355 - Jardim Garcia, Campinas - SP",67,R$ 330.000,-,2574303520
Compra,"Rua Antônio Rodrigues Moreira Neto, 669 - Jardim Paulicéia, Campinas - SP",56,R$ 230.000,-,2564945547
Compra,"Rua Manoel Herculano Marques de Fontes, 15 - Parque da Figueira, Campinas - SP",65,R$ 189.000,-,2550942298
Compra,"Rua Alberto Faria, 182 - Jardim Guanabara, Campinas - SP",107,R$ 1.350.000,-,2494574778
Compra,"Avenida Orosimbo Maia, 430 - Vila Itapura, Campinas - SP",39,R$ 191.500,Pronto para morar,2527816397
Compra,"Avenida Padre Gaspar Bertoni - Jardim Pacaembu, Campinas - SP",66,R$ 249.000,-,2535981375
Compra,"Avenida Padre Gaspar Bertoni, 567 - Jardim Pacaembu, Campinas - SP",76,R$ 260.000,-,2525145276
Compra,"Rua James Marcelo Bassan, 16 - Swiss Park, Campinas - SP",200,R$ 1.799.999,-,2549583771
Compra,"Avenida Doutor Moraes Salles, 1706 - Centro, Campinas - SP",113,R$ 415.000,-,2558392984
Compra,"Rua Raul de Sousa Campos, 125 - Parque Itália, Campinas - SP",57,R$ 300.000,-,2519449714
Compra,"Rua José Maria Sampaio, 46 - Parque Canadá, Campinas - SP",179,R$ 595.000,-,2565675326
Compra,"Avenida Barão de Itapura, 610 - Botafogo, Campinas - SP",36-47,R$ 634.756,Pronto para morar,2557379989
Compra,"Rua Hermantino Coelho, 77 - Mansões Santo Antônio, Campinas - SP",70,R$ 395.000,-,2568039947
Compra,"Rua Jasmim, 612 - Chácara Primavera, Campinas - SP",73,R$ 550.000,-,2492881980
Compra,"Avenida Cecília Samia Zarur, 229 - Vila São Bento, Campinas - SP",80,R$ 350.000,-,2561209099
Compra,"Avenida Brasil, 590 - Guanabara, Campinas - SP",87,R$ 790.000,-,2536993880
Compra,"Rua Artur Ramos, 558 - Vila João Jorge, Campinas - SP",70,R$ 330.000,-,2569528378
Compra,"Rua Harley Salvador Bove, 470 - Parque Jambeiro, Campinas - SP",50,R$ 205.000,-,2492286994
Compra,"Avenida Barão de Itapura, 610 - Botafogo, Campinas - SP",36-47,De R$ 641.485 até R$ 823.586 R$ 641.485,Em construção,2565178166
Compra,"Rua Culto à Ciência, 543 - Botafogo, Campinas - SP",55,R$ 300.000,-,2574248434
Compra,"Rua Egberto Ferreira de Arruda Camargo - Parque da Hípica, Campinas - SP",92,R$ 550.000,-,2553030815
Compra,"Avenida Maria Emília Alves dos Santos de Ângelis - Parque Prado, Campinas - SP",109,R$ 890.000,-,2427721051
Compra,"Rua Joaquim Tarso Gallace Zambom, 864 - Parque Santa Bárbara, Campinas - SP",285,R$ 250.000,-,2569846597
Compra,"Rua Maria de Lourdes Pinto dos Santos, 155 - Recanto Fortuna, Campinas - SP",570,R$ 1.400.000,-,2574271623
Compra,"Rua Santa Rita do Passa Quatro, 85 - Jardim Nova Europa, Campinas - SP",100,R$ 470.000,-,2538265189
Compra,"Rua Barão Geraldo de Resende, 205 - Jardim Guanabara, Campinas - SP",57,R$ 590.600,Em construção,2565689694
Compra,"Rua Professor Jorge Hennings, 860 - Jardim Chapadão, Campinas - SP",300,R$ 825.000,-,2545407777
Compra,"Avenida Maria Emília Alves dos Santos de Ângelis, 4370 - Parque Prado, Campinas - SP",45,R$ 245.000,-,2515043056
Compra,"Rua Célio dos Santos Ferreira, 143 - Parque Residencial Vila União, Campinas - SP",125,R$ 370.000,-,2510597279
Compra,"Rua Doutor Quirino, 959 - Centro, Campinas - SP",91,R$ 300.000,-,2550933335
Compra,"Avenida Princesa D'Oeste - Jardim Proença, Campinas - SP",80,R$ 450.000,-,2547879877
Compra,"Rua Conceição, 233 - Centro, Campinas - SP",35,R$ 199.000,-,2508302495
Compra,"Rua Barão Geraldo de Resende, 205 - Jardim Guanabara, Campinas - SP",36,R$ 359.130,Em construção,2565691888
Compra,"Avenida Ricardo Bassoli Cezare, 1157 - Jardim das Bandeiras, Campinas - SP",308,R$ 1.200.000,-,2523218788
Compra,"Rua Luiz Oliveira, 327 - Parque das Flores, Campinas - SP",114,R$ 870.000,-,2538490651
Compra,"Rua Doutor Mário Natividade - Taquaral, Campinas - SP",108,R$ 1.700.000,-,2549057267
Compra,"Rua Dez de Setembro - Centro, Campinas - SP",53,R$ 290.000,-,2532271114
Compra,"Rua Samânea, 208 - Residencial Vila Verde, Campinas - SP",441,R$ 2.530.000,-,2525304479
Compra,"Rua Doutor João Quirino do Nascimento, 1475 - Jardim Boa Esperança, Campinas - SP",66,R$ 335.000 Preço abaixo do mercado,-,2523905316
Compra,"Rua Itu, 86 - Bosque, Campinas - SP",42,R$ 270.000,-,2564884926
Compra,"Rua Doutor Antônio Álvares Lobo, 637 - Botafogo, Campinas - SP",35-36,De R$ 292.437 até R$ 327.651 R$ 292.437,Na planta,2565051785
Compra,"Rua Mirta Coluccini Porto - Fazenda Santa Cândida, Campinas - SP",220,R$ 1.150.000,-,2473533789
Compra,"Rua Antônio Cesarino, 606 - Cambuí, Campinas - SP",86,R$ 360.000 Preço abaixo do mercado,-,2537156381
Compra,"Rua Álvaro Ribeiro, 15 - Ponte Preta, Campinas - SP",80,R$ 370.000,-,2543392674
Compra,"Rua Barreto Leme, 1507 - Centro, Campinas - SP",50,R$ 250.000,-,2520993178
Compra,"Rua Estrela Três Marias, 85 - Barão Geraldo, Campinas - SP",342,R$ 1.280.000,-,2533768680
Compra,"Rua Serra do Umbuzeiro, 471 - Jardim Paranapanema, Campinas - SP",144,R$ 430.000,-,2558404698
Compra,"Rua Barão Geraldo de Resende, 850 - Vila Itapura, Campinas - SP",36-57,De R$ 341.140 até R$ 628.380 R$ 341.140,Na planta,2558197775
Compra,"Rua Manoel Herculano Marques de Fontes, 15 - Loteamento Parque São Martinho, Campinas - SP",55,R$ 199.000,-,2465642738
Compra,"Avenida Marechal Juarez Távora, 1487 - Jardim Paulicéia, Campinas - SP",51,R$ 285.000,-,2534430981
Compra,"Rua Mogi Guaçu, 1699 - Jardim Flamboyant, Campinas - SP",90,R$ 470.000,-,2523397178
Compra,"Rua Martinho Calsavara, 192 - Swift, Campinas - SP",60,R$ 365.000,-,2551841304
Compra,"Avenida Doutor Carlos de Campos, 875 - Vila Industrial, Campinas - SP",60,R$ 240.000,-,2549860089
Compra,"Rua Culto à Ciência, 32 - Botafogo, Campinas - SP",52,R$ 198.000,-,2540087227
Compra,"Avenida Governador Pedro de Toledo, 334 - Bonfim, Campinas - SP",55-80,R$ 493.104,Na planta,2556097932
Compra,"Avenida Ary Rodrigues, 315 - Parque Camélias, Campinas - SP",57,R$ 220.000 Preço abaixo do mercado,-,2507980146
Compra,"Rua Rosa Aburad Khouri, 1231 - Loteamento Parque das Hortências, Campinas - SP",230,R$ 900.000 Preço abaixo do mercado,-,2513326884
Compra,"Rua Antonietta Bernardi Pellatieri, 605 - Fazenda São Quirino, Campinas - SP",92,R$ 1.200.000,-,2558381292
Compra,"Rua João de Paula Castro, 50 - Vila Joaquim Inácio, Campinas - SP",144,R$ 500.000,-,2571761385
Compra,"Rua Luiz Mário Nicolucci, 10 - Loteamento Residencial Entre Verdes Sousas, Campinas - SP",1000,R$ 780.000,-,2570627062
Compra,"Rua Carmella Bicego Medeiros, 137 - Parque Luciamar, Campinas - SP",500,R$ 2.300.000,-,2556394416
Compra,"Avenida Governador Pedro de Toledo, 334 - Bonfim, Campinas - SP",80,R$ 645.321,Em construção,2545377416
Compra,"Rua Luiz de Paula, 240 - Parque Jatibaia, Campinas - SP",390,R$ 1.600.000,-,2563448270
Compra,"Rua Doutor Shigeo Mori, 16 - Barão Geraldo, Campinas - SP",272,R$ 1.520.000,-,2520406485
Compra,"Avenida Agenor Bonadio, 246 - Jardim Do Lago Continuacao, Campinas - SP",2300,R$ 990.000,-,2567231329
Compra,"Rua Sebastião Pereira, 533 - Parque Santa Bárbara, Campinas - SP",280,R$ 610.000,-,2543397474
Compra,"Rua Visconde de Congonhas do Campo, 1161 - Loteamento Parque São Martinho, Campinas - SP",50,R$ 265.000,-,2482352515
Compra,"Rua Fernando da Cruz Passos, 700 - Jardim Quarto Centenário, Campinas - SP",380,R$ 899.000 Preço abaixo do mercado,-,2481208886
Compra,"Avenida Governador Pedro de Toledo, 334 - Bonfim, Campinas - SP",55-80,R$ 439.704,Na planta,2552505567
Compra,"Rua Sargento Luís de Morais, 605 - Jardim São Vicente, Campinas - SP",77,R$ 495.000,-,2520209277
Compra,"Rua Riachuelo, 320 - Centro, Campinas - SP",48,R$ 400.000,-,2548863054
Compra,"Rua das Cravinas, 35 - Vila Mimosa, Campinas - SP",255,R$ 790.000,-,2542256680
Compra,"Rua Jacy Teixeira Camargo, 240 - Jardim do Lago, Campinas - SP",82,R$ 480.000,-,2492114510
Compra,"Rua Mansour Assis, s/n - Jardim Lisa, Campinas - SP",--,R$ 110.000,-,2571582226
Compra,"Jardim do Trevo, Campinas - SP",189,R$ 649.000,-,2524080500
Compra,"Rua José Moreno, 79 - Conjunto Habitacional Vila Réggio, Campinas - SP",290,R$ 540.000,-,2508037398
Compra,"Avenida Governador Pedro de Toledo, 334 - Bonfim, Campinas - SP",55-67,R$ 433.210,Em construção,2541866700
Compra,"Rua Arcebispo Dom Luciano Mendes de Almeida - Swiss Park, Campinas - SP",265,R$ 2.550.000,-,2559325658
Compra,"Rua Herculano Couto, 216 - Jardim Chapadão, Campinas - SP",200,R$ 700.000,-,2501770675
Compra,"Rua General Câmara, 97 - Centro, Campinas - SP",200,R$ 340.000,-,2536023675
Compra,"Avenida Camucim - Parque Universitário de Viracopos, Campinas - SP",60,R$ 300.000,-,2539153079
Compra,"Rua Agudos, 263 - Jardim Nossa Senhora Auxiliadora, Campinas - SP",75,R$ 665.000,-,2551976420
Compra,"Rua Marechal Deodoro, 865 - Centro, Campinas - SP",122,R$ 410.000,-,2524355695
Compra,"Rua Coronel Francisco Andrade Coutinho, 112 - Cambuí, Campinas - SP",126-221,R$ 1.357.656,Na planta,2559183777
Compra,"Rua Eliseu Teixeira de Camargo, 481 - Sítios de Recreio Gramado, Campinas - SP",1000,R$ 2.390.000,-,2570468955
Compra,"Jardim Chapadão, Campinas - SP",275,R$ 1.450.000,-,2555718031
Compra,"Avenida Orosimbo Maia, 430 - Centro, Campinas - SP",39,R$ 269.900,-,2552798582
Compra,"Avenida Carla Alessandra Tozzi - Sousas, Campinas - SP",1018,R$ 750.000,-,2427695689
Compra,"Rua Professor João Brenn, 147 - Taquaral, Campinas - SP",67,R$ 545.000,-,2482102513
Compra,"Rua Visconde de Congonhas do Campo - Loteamento Parque São Martinho, Campinas - SP",45,R$ 249.000,-,2427768609
Compra,"Rua Coronel Francisco Andrade Coutinho, 112 - Cambuí, Campinas - SP",126-221,R$ 1.350.000,Na planta,2552412658
Compra,"Rua Albamar, 28 - Loteamento Caminhos de Sao Conrado Sousas, Campinas - SP",300,R$ 1.700.000,-,2558132456
Compra,"Rua Paula Bueno, 190 - Taquaral, Campinas - SP",38,R$ 130.000,-,2558451258
Compra,"Estrada Municipal da Paz, 5 - Santa Clara, Campinas - SP",200,R$ 340.000,-,2560912360
Compra,"Avenida Francisco Glicério, 467 - Centro, Campinas - SP",123,R$ 320.000,-,2540090507
Compra,"Avenida Princesa D'Oeste, 0 - Jardim Proença, Campinas - SP",48,R$ 270.000,-,2574094548
Compra,"Rua Lourdes Martin Ponzo, 388 - Swiss Park, Campinas - SP",285,R$ 2.200.000,-,2468303904
Compra,"Rua Coronel Francisco Andrade Coutinho, 112 - Cambuí, Campinas - SP",126-221,Sob Consulta,Na planta,2542382090
Compra,"Rua Luiz Roberto de Carvalho Nogueira, 330 - Jardim Aliança, Campinas - SP",560,R$ 2.350.000,-,2549695769
Compra,"Avenida Engenheiro Roberto Mange, 230 - Vila Maria, Campinas - SP",265,R$ 1.500.000,-,2547142639
Compra,"Rua Engenheiro José Francisco Bento Homem de Mello, 765 - Fazenda São Quirino, Campinas - SP",153,R$ 1.555.000,-,2501231316
Compra,"Rua Antônio José Ribeiro Júnior, 95 - Bonfim, Campinas - SP",90,R$ 390.000,-,2526024373
Compra,"Rua Professora Lydia Abdalla, 2 - Joaquim Egídio, Campinas - SP",2952,R$ 490.000,-,2571327190
Compra,"Loteamento Residencial Novo Mundo, Campinas - SP",98,R$ 450.000,-,2491017751
Compra,"Rua Coronel Francisco Andrade Coutinho, 112 - Cambuí, Campinas - SP",126-221,R$ 1.678.100,Na planta,2557909690
Compra,"Avenida São José dos Campos, 3217 - Loteamento Parque São Martinho, Campinas - SP",53,R$ 230.000 Preço abaixo do mercado,-,2536166402
Compra,"Rua Doutor Guilherme da Silva, 38 - Cambuí, Campinas - SP",70,R$ 450.000,-,2536858318
Compra,"Rua José Martins Ladeira - Jardim Bonfim, Campinas - SP",250,R$ 560.000,-,2572805186
Compra,"Rua Culto à Ciência, 423 - Botafogo, Campinas - SP",50,R$ 127.000,-,2534932716
Compra,"Rua José Guatemosin Nogueira - Cambuí, Campinas - SP",108,R$ 1.750.000,-,2515041186
Compra,"Rua Saldanha Marinho, 950 - Centro, Campinas - SP",60,R$ 180.000,-,2528734238
Compra,"Avenida Carlos Grimaldi, 1171 - Jardim Conceição, Campinas - SP",857,R$ 5.350.000,-,2477129628
Compra,"Rua Maria Monteiro, 227 - Cambuí, Campinas - SP",172,R$ 2.434.200,Na planta,2536697592
Compra,"Rua Álvares Machado, 368 - Centro, Campinas - SP",74,R$ 250.000,-,2536050476
Compra,"Rua Dona Maria Luíza Pereira Queiroz, 41 - Parque Itália, Campinas - SP",64,R$ 359.900,-,2552140855
Compra,"Rua Clara Camarão, 272 - Jardim Amazonas, Campinas - SP",58,R$ 270.000,-,2471098209
Compra,"Avenida São José dos Campos, 1626 - Vila Campos Sales, Campinas - SP",115,R$ 700.000,-,2548278730
Compra,"Rua João Lopes Vieira, 141 - Loteamento Residencial Vila Bella, Campinas - SP",87,R$ 995.000,-,2530915484
Compra,"Rua Antonio Simões Lobo, 75 - Loteamento Mont Blanc Residence, Campinas - SP",407,R$ 4.200.000,-,2552351666
Compra,"Rua Coronel Francisco Andrade Coutinho, 66 - Cambuí, Campinas - SP",89-91,De R$ 1.136.360 até R$ 1.278.099 R$ 1.136.360,Em construção,2528361690
Compra,"Rua Jacy Teixeira Camargo, 240 - Jardim do Lago, Campinas - SP",82,R$ 565.000,-,2514052204
Compra,"Avenida Barão de Itapura, 2137 - Jardim Guanabara, Campinas - SP",32,R$ 119.000,-,2561191686
Compra,"Rua Baronesa Geraldo de Resende, 534 - Jardim Nossa Senhora Auxiliadora, Campinas - SP",115,R$ 1.250.000,-,2544013788
Compra,"Avenida Orosimbo Maia, 360 - Centro, Campinas - SP",82,R$ 850.000,-,2540086132
Compra,"Avenida Barão de Itapura - Botafogo, Campinas - SP",51,R$ 387.000,-,2427749963
Compra,"Rua José Paulino, 1168 - Centro, Campinas - SP",85,R$ 220.000,-,2515232942
