Tipo,Endereço,Área,Preço,Etiqueta,Código Viva Real
Compra,"Rua Domingos Cazotti, 214 - Jardim Santa Genebra, Campinas - SP",440,R$ 1.200.000,-,2569378702
Compra,"Rodovia Governador Doutor Adhemar Pereira de Barros, . - Jardim Myrian Moreira da Costa, Campinas - SP",360,Sob Consulta,Na planta,2542486679
Compra,"Rua Luzitana, 43 - Bosque, Campinas - SP",64,R$ 580.000,-,2568964442
Compra,"Rua Elias Fausto, 224 - Jardim Novo Campos Elíseos, Campinas - SP",145,R$ 547.000,-,2570940613
Compra,"Rua Jornalista Tim Lopes, 280 - Chácara São Rafael, Campinas - SP",413,R$ 2.900.000,-,2569192282
Compra,"Rua Doutor Sales de Oliveira, 120 - Vila Industrial, Campinas - SP",85,R$ 490.000,-,2568442828
Compra,"Rua César dos Santos, 160 - Parque Imperador, Campinas - SP",188,R$ 1.390.000,-,2569948004
Compra,"Rua João Felipe Xavier da Silva, 25 - São Bernardo, Campinas - SP",62,R$ 260.000,-,2499302789
Compra,"Rodovia Governador Doutor Adhemar Pereira de Barros, KM 119 - Fazenda Pau D'Alho, Campinas - SP",360,R$ 427.000,Em construção,2559173985
Compra,"Avenida Paulo Provenza Sobrinho - Vila Perseu Leite de Barros, Campinas - SP",109,R$ 430.000,-,2572035397
Compra,"Rua Miguel João Jorge, 225 - Jardim São José, Campinas - SP",340,R$ 550.000 Preço abaixo do mercado,-,2562161082
Compra,"Avenida Engenheiro Antônio Francisco de Paula Souza, 2601 - Jardim Cura D'ars, Campinas - SP",55,R$ 235.000,-,2570058766
Compra,"Avenida Padre Guilherme Ary, 76 - Vila Satúrnia, Campinas - SP",60,R$ 435.000,-,2574268500
Compra,"Rua Itu, 234 - Cambuí, Campinas - SP",75,R$ 445.000,-,2567335000
Compra,"Rua Ferreira Penteado, 961 - Centro, Campinas - SP",67,R$ 495.000,-,2569040200
Compra,"Avenida Aquidabã, 280 - Bosque, Campinas - SP",46,Sob Consulta,Na planta,2528358176
Compra,"Rua Paula Bueno, 978 - Taquaral, Campinas - SP",60,R$ 315.000,-,2551173176
Compra,"Avenida São José dos Campos, 150 - Jardim Nova Europa, Campinas - SP",67,R$ 320.000,-,2569070541
Compra,"Rua Maria Grassi Sinigaglia, 128 - Recanto Fortuna, Campinas - SP",49,R$ 190.000,-,2550576162
Compra,"Rua Doutor Jeber Juabre - Jardim Márcia, Campinas - SP",48,R$ 190.000,-,2570462919
Compra,"Rua Egberto Ferreira de Arruda Camargo, 1200 - Parque da Hípica, Campinas - SP",92,R$ 780.000,-,2527321151
