Tipo,Endereço,Área,Preço,Etiqueta,Código Viva Real
Imóvel Novo,"Rua Barão Geraldo de Resende, 310 - Botafogo, Campinas - SP",36-57,Sob Consulta,Na planta,2555551590
Imóvel Novo,"Rua Severo Penteado, 111 - Cambuí, Campinas - SP",213-371,Sob Consulta,Em construção,2555553935
Imóvel Novo,"Rua Hermínio Cézar, 55 - Jardim Proença, Campinas - SP",83-86,Sob Consulta,Na planta,2555553829
Imóvel Novo,"Avenida Antônio Carlos Couto de Barros, 2230 - Jardim Conceição, Campinas - SP",450-1000,Sob Consulta,Na planta,2542487827
Imóvel Novo,"Rua Doutor Emílio Ribas, 314 - Cambuí, Campinas - SP",157,R$ 1.683.152,Na planta,2542383287
Imóvel Novo,"Rua Maria Monteiro, 330 - Cambuí, Campinas - SP",190-212,Sob Consulta,Em construção,2555555422
Imóvel Novo,"Rua Barreto Leme, 2175 - Centro, Campinas - SP",256-392,Sob Consulta,Em construção,2555550234
Imóvel Novo,"Rua Coronel Francisco Andrade Coutinho, 112 - Cambuí, Campinas - SP",126-221,Sob Consulta,Na planta,2542382090
Imóvel Novo,"Rua Joaquim Novaes, 128 - Centro, Campinas - SP",111,Sob Consulta,Na planta,2542364337
Imóvel Novo,"Rua Antônio Lapa, 118 - Cambuí, Campinas - SP",139-285,Sob Consulta,Na planta,2542366126
Imóvel Novo,"Avenida Rotary, 201 - Vila Brandina, Campinas - SP",91-165,Sob Consulta,Na planta,2542360886
Imóvel Novo,"Rodovia Governador Doutor Adhemar Pereira de Barros, . - Jardim Myrian Moreira da Costa, Campinas - SP",360,Sob Consulta,Na planta,2542486679
Imóvel Novo,"Avenida Isaura Roque Quércia, s/n - Loteamento Residencial Entre Verdes Sousas, Campinas - SP",1000-1500,Sob Consulta,Em construção,2555550768
Imóvel Novo,"Rua Doutor Antônio de Arruda Camargo, 225 - Nova Campinas, Campinas - SP",120-145,Sob Consulta,Na planta,2542362527
Imóvel Novo,"Rua Orlando Fagnani, 92 - Jardim Planalto, Campinas - SP",105,Sob Consulta,Na planta,2542370878
