Tipo,Endereço,Área,Preço,Etiqueta,Código Viva Real
Imóvel Novo,"Rua Vítor Meirelles, 375 - Jardim Samambaia, Campinas - SP",48-49,A partir de R$ 231.497,Pronto para morar,2557910624
Imóvel Novo,"Rua Doutor Antônio Sousa Campos, 183 - Cambuí, Campinas - SP",129,Sob Consulta,Em construção,2565045161
Imóvel Novo,"Rua Doutor Antônio Álvares Lobo, 637 - Botafogo, Campinas - SP",35-36,A partir de R$ 292.437,Na planta,2565051785
Imóvel Novo,"Rua Jornalista Paulo Martinelli, S/N - Jardim Ibirapuera, Campinas - SP",34,Sob Consulta,Na planta,2565179732
Imóvel Novo,"Rua Lotário Novaes, 244 - Taquaral, Campinas - SP",60-73,A partir de R$ 821.873,Pronto para morar,2565175409
Imóvel Novo,"Avenida Governador Pedro de Toledo, 935 - Bonfim, Campinas - SP",54-67,A partir de R$ 437.987,Em construção,2565052305
Imóvel Novo,"Rua General Osório, 2240 - Cambuí, Campinas - SP",115-117,R$ 1.480.208,Na planta,2566560072
Imóvel Novo,"Rodovia Dom Pedro I, 20 - Bairro das Palmeiras, Campinas - SP",400,Sob Consulta,Na planta,2565043076
Imóvel Novo,"Rua Santa Rita do Passa Quatro, 355 - Jardim Nova Europa, Campinas - SP",37-47,R$ 242.690,Em construção,2560049382
Imóvel Novo,"Avenida Oswaldo Von Zuben, 2101 - Parque da Hípica, Campinas - SP",91-165,R$ 750.000,Na planta,2559473606
Imóvel Novo,"Rua Jornalista Paulo Martinelli - Jardim Ibirapuera, Campinas - SP",43,Sob Consulta,Em construção,2565182255
Imóvel Novo,"Rua José Freitas Amorim, 276 - Mansões Santo Antônio, Campinas - SP",77-90,Sob Consulta,Na planta,2571331051
Imóvel Novo,"Rua Azarias de Melo, 650 - Taquaral, Campinas - SP",98,R$ 930.610,Em construção,2557359517
Imóvel Novo,"Rua Proença, 301 - Bosque, Campinas - SP",47-49,R$ 297.000,Na planta,2565410894
Imóvel Novo,"Rua Doutor Mário Natividade, 1266 - Taquaral, Campinas - SP",66-89,A partir de R$ 633.440,Em construção,2557911082
Imóvel Novo,"Avenida Governador Pedro de Toledo, 905 - Bonfim, Campinas - SP",56-67,R$ 433.393,Pronto para morar,2557373576
Imóvel Novo,"Avenida Wellman Galvão de França Rangel, 4200 - Swiss Park, Campinas - SP",75,R$ 591.600,Em construção,2565689006
Imóvel Novo,"Rua Hermínio Cézar, 55 - Jardim Proença, Campinas - SP",84-86,R$ 673.000,Na planta,2559474594
Imóvel Novo,"Rodovia Governador Doutor Adhemar Pereira de Barros, s/n - Loteamento Alphaville Campinas, Campinas - SP",600-1000,R$ 529.000,Em construção,2561370357
